"YearEnd","Country","HBT","DepartmentType","Age","AgeQF","Sex","SexQF","Deprivation","DeprivationQF","OneAttendance","TwoAttendances","ThreeAttendances","FourAttendances","FivePlusAttendances"
"202604","S92000003","S08000015","Type 1","18-24","","Female","","1","",810,201,64,23,30
"202604","S92000003","S08000015","Type 1","18-24","","Female","","2","",514,111,33,13,19
"202604","S92000003","S08000015","Type 1","18-24","","Female","","3","",308,76,17,5,7
"202604","S92000003","S08000015","Type 1","18-24","","Female","","4","",188,42,11,6,3
"202604","S92000003","S08000015","Type 1","18-24","","Female","","5","",175,31,5,4,1
"202604","S92000003","S08000015","Type 1","18-24","","Female","","",":",58,9,3,1,3
"202604","S92000003","S08000015","Type 1","25-39","","Female","","1","",1758,398,145,54,70
"202604","S92000003","S08000015","Type 1","25-39","","Female","","2","",1054,237,59,32,39
"202604","S92000003","S08000015","Type 1","25-39","","Female","","3","",615,123,33,7,7
"202604","S92000003","S08000015","Type 1","25-39","","Female","","4","",402,71,18,6,6
"202604","S92000003","S08000015","Type 1","25-39","","Female","","5","",327,52,11,3,3
"202604","S92000003","S08000015","Type 1","25-39","","Female","","",":",209,36,11,3,8
"202604","S92000003","S08000015","Type 1","40-64","","Female","","1","",2581,606,183,48,63
"202604","S92000003","S08000015","Type 1","40-64","","Female","","2","",1908,380,111,24,39
"202604","S92000003","S08000015","Type 1","40-64","","Female","","3","",1271,227,73,19,14
"202604","S92000003","S08000015","Type 1","40-64","","Female","","4","",937,165,38,10,9
"202604","S92000003","S08000015","Type 1","40-64","","Female","","5","",749,118,37,7,4
"202604","S92000003","S08000015","Type 1","40-64","","Female","","",":",209,46,12,4,1
"202604","S92000003","S08000015","Type 1","65-74","","Female","","1","",898,171,58,21,18
"202604","S92000003","S08000015","Type 1","65-74","","Female","","2","",733,158,43,14,14
"202604","S92000003","S08000015","Type 1","65-74","","Female","","3","",546,110,27,13,7
"202604","S92000003","S08000015","Type 1","65-74","","Female","","4","",416,80,28,4,8
"202604","S92000003","S08000015","Type 1","65-74","","Female","","5","",435,61,25,10,3
"202604","S92000003","S08000015","Type 1","65-74","","Female","","",":",68,12,1,1,1
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","1","",1115,299,94,42,20
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","2","",1033,280,74,24,21
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","3","",743,175,60,27,11
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","4","",649,139,36,24,3
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","5","",712,151,48,20,10
"202604","S92000003","S08000015","Type 1","75 plus","","Female","","",":",62,7,2,0,1
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","1","",1875,437,151,55,44
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","2","",1186,291,92,35,20
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","3","",785,155,45,20,9
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","4","",581,127,29,7,6
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","5","",477,104,27,8,4
"202604","S92000003","S08000015","Type 1","Under 18","","Female","","",":",264,58,17,9,5
"202604","S92000003","S08000015","Type 1","18-24","","Male","","1","",755,145,42,14,22
"202604","S92000003","S08000015","Type 1","18-24","","Male","","2","",482,118,22,8,8
"202604","S92000003","S08000015","Type 1","18-24","","Male","","3","",325,72,19,7,3
"202604","S92000003","S08000015","Type 1","18-24","","Male","","4","",246,54,9,8,3
"202604","S92000003","S08000015","Type 1","18-24","","Male","","5","",218,41,6,1,0
"202604","S92000003","S08000015","Type 1","18-24","","Male","","",":",55,11,3,3,3
"202604","S92000003","S08000015","Type 1","25-39","","Male","","1","",1798,444,140,51,43
"202604","S92000003","S08000015","Type 1","25-39","","Male","","2","",1119,241,64,15,24
"202604","S92000003","S08000015","Type 1","25-39","","Male","","3","",646,133,34,17,9
"202604","S92000003","S08000015","Type 1","25-39","","Male","","4","",424,70,22,5,7
"202604","S92000003","S08000015","Type 1","25-39","","Male","","5","",334,56,9,5,3
"202604","S92000003","S08000015","Type 1","25-39","","Male","","",":",187,32,9,4,0
"202604","S92000003","S08000015","Type 1","40-64","","Male","","1","",2463,570,168,70,89
"202604","S92000003","S08000015","Type 1","40-64","","Male","","2","",1923,386,117,42,41
"202604","S92000003","S08000015","Type 1","40-64","","Male","","3","",1211,213,56,17,15
"202604","S92000003","S08000015","Type 1","40-64","","Male","","4","",903,155,38,12,14
"202604","S92000003","S08000015","Type 1","40-64","","Male","","5","",756,117,28,9,2
"202604","S92000003","S08000015","Type 1","40-64","","Male","","",":",203,31,13,5,2
"202604","S92000003","S08000015","Type 1","65-74","","Male","","1","",829,199,61,23,18
"202604","S92000003","S08000015","Type 1","65-74","","Male","","2","",692,166,48,13,15
"202604","S92000003","S08000015","Type 1","65-74","","Male","","3","",518,118,24,9,8
"202604","S92000003","S08000015","Type 1","65-74","","Male","","4","",412,76,23,2,4
"202604","S92000003","S08000015","Type 1","65-74","","Male","","5","",328,69,23,2,6
"202604","S92000003","S08000015","Type 1","65-74","","Male","","",":",67,12,4,0,0
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","1","",797,227,66,29,22
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","2","",783,215,66,30,13
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","3","",574,159,47,17,10
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","4","",505,124,38,15,13
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","5","",558,133,49,11,9
"202604","S92000003","S08000015","Type 1","75 plus","","Male","","",":",36,9,5,0,1
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","1","",2230,537,167,61,32
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","2","",1466,333,108,26,19
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","3","",913,230,62,20,14
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","4","",702,144,38,11,9
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","5","",688,145,40,14,2
"202604","S92000003","S08000015","Type 1","Under 18","","Male","","",":",314,75,17,13,3
"202604","S92000003","S08000015","Type 1","",":","",":","",":",0,0,0,0,0
"202604","S92000003","S08000016","Type 1","18-24","","Female","","1","",58,18,3,1,5
"202604","S92000003","S08000016","Type 1","18-24","","Female","","2","",116,28,7,3,5
"202604","S92000003","S08000016","Type 1","18-24","","Female","","3","",198,40,13,5,5
"202604","S92000003","S08000016","Type 1","18-24","","Female","","4","",158,35,11,6,3
